City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Punta Arenas,CL,2021-02-14 03:42:31,-53.15,-70.9167,46.4,76,90,11.5
59,Alice Springs,AU,2021-02-14 03:42:31,-23.7,133.8833,87.01,42,30,10.36
60,Puerto Ayora,EC,2021-02-14 03:42:32,-0.7393,-90.3518,77.0,90,74,6.22
61,Butaritari,KI,2021-02-14 03:42:32,3.0707,172.7902,80.2,82,100,14.88
62,Thabazimbi,ZA,2021-02-14 03:42:32,-24.5917,27.4116,68.0,96,84,2.37
63,Qaanaaq,GL,2021-02-14 03:39:12,77.484,-69.3632,9.28,77,0,6.17
64,Georgetown,MY,2021-02-14 03:42:32,5.4112,100.3354,87.8,48,20,6.91
65,Namibe,AO,2021-02-14 03:42:33,-15.1961,12.1522,72.19,74,99,3.85
66,Imbituba,BR,2021-02-14 03:38:37,-28.24,-48.6703,75.2,88,0,3.44
67,Tashara,RU,2021-02-14 03:42:33,55.5195,83.5094,4.87,94,100,9.62
68,Iqaluit,CA,2021-02-14 03:41:40,63.7506,-68.5145,-11.0,77,75,0.98
69,Florence,IT,2021-02-14 03:42:33,43.7667,11.25,35.6,44,75,9.22
70,Mahebourg,MU,2021-02-14 03:39:18,-20.4081,57.7,78.8,83,40,5.75
71,Grand-Lahou,CI,2021-02-14 03:42:33,5.1367,-5.0242,79.34,87,22,11.41
72,Tautira,PF,2021-02-14 03:42:33,-17.7333,-149.15,84.2,70,40,8.05
73,Noumea,NC,2021-02-14 03:42:34,-22.2763,166.4572,87.8,66,20,10.36
74,Disna,BY,2021-02-14 03:42:34,55.568,28.1971,14.43,96,90,9.1
75,Bluff,NZ,2021-02-14 03:39:07,-46.6,168.3333,58.68,81,100,3.6
76,Centralia,US,2021-02-14 03:42:34,46.7162,-122.9543,33.8,100,90,8.05
77,Hirara,JP,2021-02-14 03:42:34,24.8,125.2833,75.2,73,20,11.5
78,Bridlington,GB,2021-02-14 03:42:34,54.0831,-0.1919,30.99,70,100,18.99
79,Katsuura,JP,2021-02-14 03:41:43,35.1333,140.3,64.0,62,75,4.61
80,Krumovgrad,BG,2021-02-14 03:42:34,41.4667,25.65,26.01,100,100,16.33
81,Bredasdorp,ZA,2021-02-14 03:42:35,-34.5322,20.0403,64.4,88,0,1.14
82,Alugan,PH,2021-02-14 03:42:35,12.2188,125.4808,81.93,77,100,4.34
83,Naze,JP,2021-02-14 03:42:35,28.3667,129.4833,71.6,88,75,12.66
84,Constitucion,CL,2021-02-14 03:42:35,-35.3333,-72.4167,55.67,87,32,7.58
85,Puerto Escondido,MX,2021-02-14 03:42:35,15.85,-97.0667,74.26,73,0,7.99
86,Verkhoyansk,RU,2021-02-14 03:38:00,67.5447,133.385,-12.44,86,12,0.74
87,Hongjiang,CN,2021-02-14 03:42:35,27.11,109.9956,69.73,57,0,2.57
