City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Cabo San Lucas,MX,75.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
357,Sao Jose Da Coroa Grande,BR,78.53,light rain,-8.8978,-35.1478,Crôa Mares Hotel
361,Marsh Harbour,BS,75.72,clear sky,26.5412,-77.0636,Abaco Beach Resort
362,Karratha,AU,83.23,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
367,Sawankhalok,TH,78.01,mist,17.316,99.8319,Boon Bunleng Resort
370,Koungou,YT,82.4,light rain,-12.7336,45.2042,Villa Netibor
374,Mtsamboro,YT,82.4,light rain,-12.6998,45.0689,
376,Manokwari,ID,83.43,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
395,Chicama,PE,75.38,few clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
403,Bubaque,GW,76.68,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
404,Yaan,NG,80.65,clear sky,7.3833,8.5667,
407,Sabang,ID,83.03,clear sky,5.8933,95.3214,Hotel Citra
408,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
415,Sorong,ID,83.26,overcast clouds,-0.8833,131.25,The Waigo Hotel
416,Barra,BR,78.48,overcast clouds,-11.0894,-43.1417,Motel Albatroz
423,Grand Gaube,MU,75.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
425,Puerto Escondido,MX,78.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
431,Mount Isa,AU,87.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
432,Guanagazapa,GT,82.4,clear sky,14.2253,-90.6433,El Ranchon de Nicho
442,Sao Joao Da Barra,BR,76.87,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
449,Cairns,AU,87.8,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
452,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
453,Yaviza,PA,76.62,overcast clouds,8.1537,-77.6931,
457,Aitape,PG,80.13,very heavy rain,-3.1374,142.3475,
461,Sibut,CF,75.24,overcast clouds,5.718,19.0739,
467,Faanui,PF,82.35,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
471,Sibolga,ID,79.39,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
474,Yenagoa,NG,77.63,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
477,Acapulco,MX,78.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
481,Kendari,ID,83.59,moderate rain,-3.945,122.4989,Hotel Wixel
483,Ewo,CG,77.94,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
488,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
493,Aden,YE,75.79,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
500,Kavaratti,IN,80.83,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
502,Caravelas,BR,76.05,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
505,Takoradi,GH,79.29,few clouds,4.8845,-1.7554,Raybow International Hotel
509,Petaling Jaya,MY,80.01,few clouds,3.1073,101.6067,Holiday Villa Hotel & Conference Centre Subang
520,Moree,AU,82.4,clear sky,-29.4667,149.85,Molika Springs Motel
526,Pandan,PH,78.84,broken clouds,14.0453,124.1694,Bonifacio Lodge
529,Makasar,ID,78.8,scattered clouds,-5.14,119.4221,Aryaduta Makassar
533,Bouillante,GP,75.2,clear sky,16.1304,-61.7692,Gîtes Dardanelle
538,French Harbor,HN,80.6,clear sky,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
544,Kalmunai,LK,76.75,broken clouds,7.4167,81.8167,VS Villa
546,Kinshasa,CD,76.15,overcast clouds,-4.3246,15.3215,Star Hotel II
549,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
551,Quelimane,MZ,77.0,broken clouds,-17.8786,36.8883,Hotel Flamingo
552,Gizo,SB,84.9,light rain,-8.103,156.8419,Imagination Island
559,Dhidhdhoo,MV,80.38,scattered clouds,6.8833,73.1,Dhidhoo beach
564,Cantagallo,CO,79.95,overcast clouds,7.376,-73.9196,Apartahotel Altamira
565,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
566,Mogadishu,SO,75.79,broken clouds,2.0371,45.3438,Hotel Juba
576,Buala,SB,83.98,light rain,-8.145,159.5921,Maringe Lagoon Lodge
578,Monrovia,LR,79.97,clear sky,6.3005,-10.7969,Sunset Inn
581,Port Moresby,PG,86.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
589,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
596,Libreville,GA,80.6,few clouds,0.3925,9.4537,Hotel Re-Ndama
604,Gladstone,AU,84.2,light rain,-23.85,151.25,Highpoint International
608,Caibarien,CU,78.8,scattered clouds,22.5206,-79.4669,La Nena
609,Eirunepe,BR,75.97,overcast clouds,-6.6603,-69.8736,Atrás de você
620,Ambovombe,MG,75.31,overcast clouds,-25.1667,46.0833,RELAHARA
627,Kirakira,SB,85.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
628,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
632,Port Hedland,AU,84.2,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
642,The Valley,AI,78.01,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
656,Canjulao,PH,80.02,few clouds,9.6605,124.3532,Dine & Sign and IDEA Pension House
661,Carutapera,BR,76.84,overcast clouds,-1.195,-46.02,Lidera
665,Itarema,BR,78.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
666,Poya,NC,84.4,scattered clouds,-21.35,165.15,
676,Port-Gentil,GA,81.88,overcast clouds,-0.7193,8.7815,Fengshui Residence
677,Pointe-Noire,CG,78.8,few clouds,-4.7761,11.8635,Kactus Lodge
